Fecha,Humedad,Temperatura
2024-08-01,52,22
2024-08-02,67,25
2024-08-03,45,20
2024-08-04,58,27
2024-08-05,63,23
2024-08-06,55,30
2024-08-07,48,24
2024-08-08,71,19
2024-08-09,60,26
2024-08-10,50,22
2024-08-11,68,28
2024-08-12,56,25
2024-08-13,49,21
2024-08-14,72,30
2024-08-15,65,29
2024-08-16,59,24
2024-08-17,62,27
2024-08-18,53,22
2024-08-19,70,26
2024-08-20,51,23
2024-08-21,64,28
2024-08-22,57,30
2024-08-23,45,20
2024-08-24,69,25
2024-08-25,66,27
2024-08-26,52,24
2024-08-27,73,29
2024-08-28,61,26
2024-08-29,58,23
2024-08-30,48,22
